Sample: 'british company interpret ford interest prelude hostile takeover bid', with label 1 and prediction 1
Sample: 'main interest put firm business fairly quickly say', with label 3 and prediction 6
Sample: 'annuity type tax-advantaged retirement saving plan appeal augment eye-catching first-year interest rate', with label 6 and prediction 6
Sample: 'local bank also attract interest speculation merger acquisition', with label 1 and prediction 1
Sample: 'nomination indication interest specific area attractive exploration', with label 1 and prediction 1
Sample: 'inclusion peseta escudo apt rise short long-term interest rate share so-called soft-currency high interest country currency basket increase accord study ecu ubs phillips draw', with label 6 and prediction 6
Sample: 'bullish dollar sentiment appear strong enough survive gradual reduction interest rate', with label 6 and prediction 6
Sample: 'judge decide knock several category charge include late-payment fee sound reasonable amount interest', with label 6 and prediction 6
Sample: 'addition begin year company defer recognition interest income earn fund deposit escrow account relate settlement agreement former director', with label 6 and prediction 6
Sample: 'annualized interest rate certain investment report federal reserve board weekly-average basis a-discounted rate', with label 6 and prediction 6
Sample: 'initial rate set tuesday interest pay quarterly rate note reset monthly', with label 6 and prediction 6
Sample: 'mark significant shift interest rate outlook say william sullivan director money market research dean witter reynolds inc new york', with label 6 and prediction 6
Sample: 'ally say pay interest senior note due pay interest senior subordinate debenture due', with label 6 and prediction 6
Sample: 'smoking provision attract public interest underlie bill subject behind-the-scenes lobbying impact air transportation mundane politically important project member', with label 1 and prediction 6
Sample: 'pact oryx sell interest oil gas field state american exploration houston', with label 5 and prediction 5
Sample: 'see payment rise several dollar month interest rate climb steadily past year', with label 6 and prediction 6
Sample: 'head trader chemical banking corp interest rate option group leave company follow valuation error result charge third-quarter result', with label 6 and prediction 6
Sample: 'australia commit keep interest rate high era', with label 6 and prediction 6
Sample: 'colony bank major stake interest rate move enormous hong kong-dollar exposure', with label 6 and prediction 6
Sample: 'interest rate option contract client pay fee bank custom-tailored protection adverse interest rate swing specify period', with label 6 and prediction 6
Sample: 'average maturity consider indication direction professional money manager think interest rate head', with label 6 and prediction 6
Sample: 'mark post steady gain week market expect increase german interest rate', with label 6 and prediction 6
Sample: 'lower interest rate enough keep economy grow moderate pace accelerate inflation feed attempt steer economy eighth year economic expansion', with label 6 and prediction 6
Sample: 'naomi bernhard levinson fine-arts appraiser bernhard associate san francisco consider definite conflict interest auction house advise client purchase set price estimate painting purchase', with label 4 and prediction 5
Sample: 'fluctuation short interest certain stock also cause partly arbitrage', with label 5 and prediction 5
Sample: 'company also continue pursue sale interest showtime network inc unit company cable-tv industry biondi say', with label 5 and prediction 5
Sample: 'raytheon use british design make radar equipment detect enemy plane world war purchase one-third interest new japan radio make tube design available japanese concern', with label 5 and prediction 6
Sample: 'large heterogeneous election district encourage good government say madison representative compel serve interest constituent servile none', with label 4 and prediction 4
Sample: 'even report help accelerate market downturn dealer say price depressed mainly belief pound remain pressure government little support currency continue raise interest rate', with label 6 and prediction 6
Sample: 'charge minority interest total year-earlier period', with label 5 and prediction 5
Sample: 'adjacent table show big board amex issue short interest position least share exist mid-september short position change least share mid-august see accompany table wsj sept', with label 5 and prediction 5
Sample: 'return richfield seek stake least australian company substantial retail property interest', with label 5 and prediction 5
Sample: 'corporate issue several blue-chip company tap new-issue market yesterday take advantage fall interest rate', with label 6 and prediction 6
Sample: 'well-publicized trouble large issuer high-yield corporate bond send interest rate issue climb new high relative government debt', with label 6 and prediction 6
Sample: 'amex short interest reach share adjust', with label 5 and prediction 5
Sample: 'interest', with label 1 and prediction 2
Sample: 'ally indicate amount overdue payment analyst say aggregate interest due friday ally high-yield bond', with label 6 and prediction 6
Sample: 'amex short interest climb share share', with label 5 and prediction 5
Sample: 'speculation imminent rise german interest rate make round day intensify week send dax index tailspin tuesday cost end wednesday session', with label 6 and prediction 6
Sample: 'washington motivation two-year reduction budgetary mean public interest', with label 4 and prediction 1
Sample: 'flow base mclean interest defense work electronics software', with label 5 and prediction 5
Sample: 'fact zenith say profitable last month incur hefty interest expense debt load', with label 6 and prediction 6
Sample: 'sweep claim national power draw sustenance court justification federal wage hour standard state municipal employee garcia decision state need protection court argument run already quite adequately protect national political process representation local interest congress political party state-centered arithmetic electoral college', with label 4 and prediction 6
Sample: 'china hopeless democracy say wan add believe make democratic stable china interest unite state', with label 4 and prediction 4
Sample: 'watch interest sport plummet year ski industry try give lift', with label 1 and prediction 1
Sample: 'merrill lynch withdraw lead manager bond issue holmes court bell resource ltd use reduce interest bill', with label 6 and prediction 6
Sample: 'give thatcher steadfast support north american interest unilateralist tendency british opposition president bush canadian prime minister brian mulroney well help make point', with label 4 and prediction 6
Sample: 'news good bond economic weakness sometimes cause federal reserve low interest rate effort stimulate economy stave recession', with label 6 and prediction 6
Sample: 'british firm sell paper retailing interest include saks fifth avenue marshall field focus tobacco financial service', with label 5 and prediction 1
Sample: 'loan covenant require harcourt pay bank debt high-yield note upwards interest much weighty bank debt carry interest rate', with label 6 and prediction 6
Sample: 'survey also detect bit interest golf positive sign country club golf club maker', with label 1 and prediction 5
Sample: 'curb junk bond end tax benefit certain security zero-coupon bond postpone cash interest payment', with label 6 and prediction 6
Sample: 'unified saving deposit account indication deposit brokered account follow small increase interest rate', with label 6 and prediction 6
Sample: 'support dollar face central bank effort tame strong economy still relatively high interest rate compare germany japan foreigner notion dennis james capel put appear stable politically world appear unstable year', with label 6 and prediction 6
Sample: 'period so-called coverage ratio service business cash flow divide interest payment fell 3-to-1 5-to-1', with label 6 and prediction 6
Sample: 'moreover interest asset-backed security fully taxable interest treasury issue tax-free state local level', with label 6 and prediction 6
Sample: 'ima extend offer await senate action proposal eliminate tax deductibility certain interest payment original issue discount debt security use finance offer', with label 6 and prediction 6
Sample: 'recently pound fall high inflation also seem almost impervious high interest rate lawson deploy stop', with label 6 and prediction 6
Sample: 'greenspan prepare speech say govern monetary policy intermediate target exchange interest rate coincide feed long-term inflation-fighting goal', with label 6 and prediction 6
Sample: 'commonly give scenario base interest rate company guarantee usually rate currently get investment often', with label 6 and prediction 6
Sample: 'trader take statement sign high european interest rate near term begin take profit issue lead market last week string consecutive record close', with label 6 and prediction 6
Sample: 'keep exchange rate peg lawson tighten monetary policy push interest rate', with label 6 and prediction 6
Sample: 'mean note continue trade par value trading exclude accrue interest rjr boost bond interest rate high necessary drive market price', with label 6 and prediction 6
Sample: 'stock market tremor bond market back look next batch economic number determine interest rate head', with label 6 and prediction 6
Sample: 'student school interest cost pay student add loan balance', with label 6 and prediction 6
Sample: 'phelan interest build electronic marketplace say market maker', with label 3 and prediction 1
Sample: 'acquire howick coal mine oct buy british petroleum australian coal interest', with label 5 and prediction 5
Sample: 'new note bear interest july thereafter', with label 6 and prediction 6
Sample: 'fast genome project move academic interest', with label 1 and prediction 1
Sample: 'lump payment low harcourt interest bill roughly year say john berardi harcourt senior vice president treasurer', with label 6 and prediction 6
Sample: 'sept letter dunkin donut franchise owner company chairman robert rosenberg say certain franchise owner express concern takeover jeopardize dunkin donut system offer help finance leveraged buy-out company mean protect interest', with label 4 and prediction 5
Sample: 'thursday september key foreign annual interest rate guide general level always represent actual transaction', with label 6 and prediction 6
Sample: 'also interest broadcasting lighting product jet engine appliance plastic', with label 5 and prediction 5
